name,primary_industry,secondary_industries,description,traits,keywords,salary_range,crossover_label,source_url,reviewed
"Research Data Curator","Science & Research","Tech & Engineering","You organize, preserve, and make scientific datasets accessible so other researchers can verify findings and build on discoveries. Your metadata standards and archiving systems ensure that valuable research data remains usable for decades.","Organized,Detail-oriented,Systematic,Collaborative","data,systems,analytical,independent,writing,technical","$50k–$85k","","https://www.onetonline.org/link/summary/15-1299.02","false"
"Neuroscience Lab Manager","Science & Research","Healthcare & Medicine,Business & Finance","You oversee daily operations of a brain research laboratory, managing equipment, training researchers, and ensuring experiments run smoothly. Your organizational skills keep million-dollar equipment maintained and complex research projects on track.","Organized,Leadership,Technical,Communicative","leadership,systems,people,data,technical,calm","$55k–$95k","Science + Management","https://www.onetonline.org/link/summary/11-9121.00","false"
"Astrochemist","Science & Research","Tech & Engineering","You study the chemical makeup of stars, planets, and interstellar space using telescope data and laboratory simulations. Your research on space molecules helps explain how organic compounds—the building blocks of life—form throughout the universe.","Analytical,Curious,Imaginative,Precise","data,analytical,independent,systems,technical,writing","$65k–$115k","Chemistry + Space","https://www.onetonline.org/link/summary/19-2031.00","false"
"Biomechanist","Science & Research","Sports & Fitness,Healthcare & Medicine","You analyze how bodies move using motion-capture technology and force sensors to improve athletic performance or design better prosthetics. Your data helps Olympic athletes shave milliseconds off their times and patients walk naturally again.","Analytical,Technical,Observant,Problem-solver","data,analytical,physical,visual,systems,people","$55k–$95k","Science + Sports","https://www.onetonline.org/link/summary/19-1099.00","false"
"Histotechnologist","Science & Research","Healthcare & Medicine","You prepare ultra-thin slices of tissue samples and stain them with special dyes so pathologists can diagnose diseases under a microscope. Your precise knife work and chemical expertise make cancer cells visible and treatable conditions identifiable.","Precise,Patient,Detail-oriented,Steady","hands-on,analytical,independent,calm,technical,visual","$45k–$75k","","https://www.bls.gov/ooh/healthcare/clinical-laboratory-technologists-and-technicians.htm","false"
"Conservation Geneticist","Science & Research","Environment & Sustainability","You analyze DNA from endangered species to guide breeding programs and prevent inbreeding in small populations. Your genetic maps help zoos coordinate which animals should mate and inform decisions about releasing animals into the wild.","Analytical,Compassionate,Detail-oriented,Strategic","data,analytical,independent,systems,outdoor,writing","$55k–$90k","Science + Conservation","https://www.onetonline.org/link/summary/19-1029.00","false"
"Sensory Scientist","Science & Research","Business & Finance,Hospitality & Events","You design experiments where people taste, smell, and feel products to understand human perception and guide product development. Your research determines why one chip is crunchier or why a new soap smells ""clean"" to consumers.","Creative,Analytical,Curious,Communicative","data,people,analytical,creative,systems,independent","$55k–$95k","Science + Food","https://www.onetonline.org/link/summary/19-1012.00","false"
"Glacier Hydrologist","Science & Research","Environment & Sustainability","You study how glaciers melt and flow, measuring ice thickness and tracking meltwater to predict sea level rise and water supplies. Your expeditions to polar regions and high mountains provide data critical for climate change projections.","Adventurous,Analytical,Resilient,Observant","outdoor,travel,data,analytical,physical,independent","$60k–$100k","","https://www.bls.gov/ooh/life-physical-and-social-science/hydrologists.htm","false"
"Chronobiologist","Science & Research","Healthcare & Medicine","You study biological rhythms—like sleep cycles and seasonal changes in behavior—to understand how timing affects health. Your research on circadian clocks helps develop treatments for jet lag, shift work disorders, and depression.","Analytical,Patient,Curious,Systematic","data,analytical,independent,systems,writing,technical","$58k–$100k","Science + Sleep","https://www.onetonline.org/link/summary/19-1042.00","false"
"Laboratory Animal Caretaker","Science & Research","Healthcare & Medicine","You provide daily care for animals in research facilities, feeding them, cleaning enclosures, and monitoring their health and behavior. Your observations help ensure animal welfare and alert researchers to any changes that might affect study results.","Compassionate,Observant,Responsible,Calm","hands-on,physical,calm,independent,people,animals","$30k–$45k","","https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm","false"
"Revenue Manager","Hospitality & Events","Business & Finance","You analyze booking patterns, competitor pricing, and market demand to set the perfect room rates that maximize hotel profits. Your data-driven decisions can mean millions in additional revenue during peak seasons or major events.","Analytical,Strategic,Detail-oriented,Decisive","data,analytical,systems,independent,fast,leadership","$55k–$120k","Hospitality + Data","https://www.onetonline.org/link/summary/11-9081.00","false"
"Destination Wedding Planner","Hospitality & Events","Design & Creative,Business & Finance","You coordinate every detail of weddings in exotic locations—from scouting venues in Santorini to managing vendor relationships across time zones. Your calm under pressure transforms couples' dreams into flawless celebrations thousands of miles from home.","Organized,Creative,Empathetic,Adaptable","people,creative,travel,fast,leadership,hands-on","$40k–$85k","Events + Travel","https://www.onetonline.org/link/summary/13-1121.00","false"
"Hotel Sustainability Coordinator","Hospitality & Events","Environment & Sustainability","You implement eco-friendly practices across hotel operations—from reducing water waste to sourcing local food and eliminating single-use plastics. Your initiatives help properties earn green certifications while cutting costs and attracting environmentally conscious travelers.","Innovative,Passionate,Analytical,Persuasive","systems,analytical,people,leadership,independent,data","$45k–$80k","Hospitality + Sustainability","https://www.onetonline.org/link/summary/11-9199.00","false"
"Cruise Director","Hospitality & Events","Arts & Performance","You orchestrate all entertainment and activities aboard cruise ships—from Broadway-style shows to trivia nights and port excursions. Your energy and creativity keep thousands of passengers engaged and having the time of their lives at sea.","Charismatic,Organized,Energetic,Quick-thinking","people,creative,travel,fast,leadership,performance","$50k–$100k","Hospitality + Entertainment","https://www.onetonline.org/link/summary/11-9081.00","false"
"Food Stylist","Hospitality & Events","Design & Creative,Media & Journalism","You arrange and manipulate food to look irresistibly delicious for photo shoots, commercials, and restaurant menus. Your artistic eye and technical tricks—like using tweezers and blowtorches—transform ordinary dishes into visual masterpieces.","Creative,Patient,Detail-oriented,Artistic","creative,visual,hands-on,independent,calm,artistic","$35k–$75k","Food + Design","https://www.onetonline.org/link/summary/27-1029.00","false"
"Convention Services Manager","Hospitality & Events","Business & Finance","You serve as the main contact between hotels and organizations hosting conferences, coordinating everything from room blocks to audiovisual setups. Your ability to juggle multiple large-scale events ensures thousands of attendees have seamless experiences.","Organized,Diplomatic,Multi-tasker,Calm","people,systems,fast,leadership,calm,analytical","$50k–$90k","","https://www.onetonline.org/link/summary/11-9081.00","false"
"Theme Park Experience Designer","Hospitality & Events","Design & Creative,Tech & Engineering","You create immersive attractions and guest experiences that transport visitors into different worlds—from haunted mansions to futuristic galaxies. Your blend of storytelling, psychology, and technology shapes memories that last a lifetime.","Imaginative,Technical,Collaborative,Visionary","creative,visual,systems,people,hands-on,innovative","$55k–$110k","Entertainment + Design","https://www.onetonline.org/link/summary/27-1029.00","false"
"Sommelier","Hospitality & Events","Education & Coaching","You curate wine programs for restaurants, recommend perfect pairings to guests, and train staff on beverage knowledge. Your refined palate and ability to tell the story behind each bottle transforms a meal into an unforgettable experience.","Knowledgeable,Personable,Detail-oriented,Passionate","people,creative,calm,independent,sensory,knowledge","$45k–$100k","","https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm","false"
"Guest Experience Analyst","Hospitality & Events","Tech & Engineering,Business & Finance","You analyze customer feedback, online reviews, and survey data to identify exactly what makes guests happy or frustrated. Your insights drive changes in service, amenities, and policies that measurably improve satisfaction scores.","Analytical,Curious,Empathetic,Detail-oriented","data,analytical,systems,people,independent,writing","$50k–$85k","Hospitality + Data","https://www.onetonline.org/link/summary/13-1161.00","false"
"Resort Recreation Director","Hospitality & Events","Sports & Fitness","You design and oversee all recreational activities at resorts—from poolside yoga and kids' camps to adventure excursions and evening entertainment. Your programming keeps guests of all ages active, engaged, and eager to return.","Energetic,Creative,Organized,People-focused","people,physical,creative,leadership,outdoor,fast","$40k–$75k","Hospitality + Fitness","https://www.onetonline.org/link/summary/11-9072.00","false"
"Corporate Event Producer","Hospitality & Events","Business & Finance,Media & Journalism","You bring company conferences, product launches, and galas to life—managing budgets, coordinating vendors, and directing live productions. Your behind-the-scenes leadership ensures executives look polished and brand messages land perfectly.","Strategic,Calm under pressure,Creative,Authoritative","leadership,fast,creative,people,systems,visual","$55k–$110k","Events + Business","https://www.onetonline.org/link/summary/13-1121.00","false"
"Hotel Digital Marketing Manager","Hospitality & Events","Business & Finance,Media & Journalism","You create social media campaigns, manage online advertising, and optimize hotel websites to drive bookings. Your understanding of travel trends and digital platforms turns browsers into guests and guests into loyal fans.","Creative,Analytical,Trend-savvy,Strategic","creative,data,writing,visual,systems,fast","$50k–$95k","Hospitality + Marketing","https://www.onetonline.org/link/summary/11-2021.00","false"
"Culinary Tour Guide","Hospitality & Events","Education & Coaching","You lead food-focused walking tours through neighborhoods, introducing visitors to hidden restaurants, street vendors, and local culinary traditions. Your storytelling brings each dish's history alive while supporting small businesses.","Personable,Knowledgeable,Storyteller,Enthusiastic","people,travel,creative,outdoor,walking,knowledge","$30k–$55k","Food + Tourism","https://www.onetonline.org/link/summary/39-7012.00","false"
"Banquet Captain","Hospitality & Events","","You lead the service team during weddings, corporate dinners, and large events—ensuring plates hit tables on time and guests receive impeccable attention. Your ability to coordinate dozens of servers creates the seamless elegance clients expect.","Authoritative,Detail-oriented,Quick-thinking,Composed","leadership,people,fast,physical,hands-on,systems","$35k–$60k","","https://www.bls.gov/ooh/food-preparation-and-serving/food-service-managers.htm","false"
"Concierge","Hospitality & Events","","You serve as a guest's personal problem-solver—securing impossible dinner reservations, arranging surprise proposals, and knowing every hidden gem in the city. Your connections and creativity turn ordinary hotel stays into extraordinary experiences.","Resourceful,Personable,Discreet,Knowledgeable","people,calm,independent,knowledge,creative,service","$30k–$55k","","https://www.bls.gov/ooh/personal-care-and-service/concierges.htm","false"
"Event Technology Specialist","Hospitality & Events","Tech & Engineering","You set up and manage the technical backbone of events—from live-streaming keynotes and running registration apps to troubleshooting AV systems in real time. Your tech expertise ensures speakers shine and virtual attendees stay connected.","Technical,Problem-solver,Calm,Adaptable","systems,technical,fast,hands-on,independent,analytical","$45k–$85k","Events + Tech","https://www.onetonline.org/link/summary/27-4011.00","false"
"Spa Director","Hospitality & Events","Fashion & Beauty,Business & Finance","You oversee all operations of hotel or resort spas—hiring therapists, designing treatment menus, and ensuring guests leave deeply relaxed. Your business savvy and wellness expertise create profitable sanctuaries of self-care.","Business-minded,Calm,Detail-oriented,Wellness-focused","leadership,people,calm,creative,systems,beauty","$55k–$100k","Hospitality + Wellness","https://www.onetonline.org/link/summary/11-9081.00","false"
"Catering Sales Manager","Hospitality & Events","Business & Finance","You meet with clients planning weddings, fundraisers, and corporate events to design custom menus and packages that fit their vision and budget. Your persuasion skills and attention to detail turn inquiries into booked events worth thousands.","Persuasive,Organized,Personable,Goal-driven","people,creative,fast,leadership,analytical,sales","$45k–$85k","","https://www.onetonline.org/link/summary/11-2022.00","false"
"Festival Operations Manager","Hospitality & Events","Arts & Performance","You handle the massive logistics behind music festivals and cultural events—coordinating security, vendors, permits, and crowd flow for tens of thousands of attendees. Your planning turns open fields into safe, thriving temporary cities.","Organized,Decisive,Calm under chaos,Strategic","leadership,systems,outdoor,fast,people,physical","$50k–$95k","Events + Entertainment","https://www.onetonline.org/link/summary/13-1121.00","false"
"Lodging Manager","Hospitality & Events","Business & Finance","You run the day-to-day operations of hotels, motels, or bed-and-breakfasts—overseeing staff, handling guest complaints, and monitoring budgets. Your leadership ensures every guest walks in to a clean room and walks out with a great impression.","Leadership-oriented,Problem-solver,Organized,Personable","leadership,people,systems,fast,calm,analytical","$45k–$105k","","https://www.bls.gov/ooh/management/lodging-managers.htm","false"
"Sports Biomechanist","Sports & Fitness","Science & Research, Tech & Engineering","You analyze athletes' movements using motion capture technology and physics principles to help them improve performance and prevent injuries. Your data-driven insights help coaches redesign training programs and help athletes shave seconds off their times or add power to their swings.","Analytical,Detail-oriented,Technical,Patient","data,analytical,systems,independent,technical,research","$50k–$85k","Sports + Science","https://www.onetonline.org/link/summary/19-2099.00","false"
"Athletic Director","Sports & Fitness","Business & Finance, Education & Coaching","You oversee all athletic programs at a school or university, managing budgets, hiring coaches, and ensuring student-athletes succeed both on the field and in the classroom. Your leadership shapes the culture of entire sports programs and impacts hundreds of young athletes' lives.","Leadership,Strategic,Organized,Diplomatic","leadership,people,systems,business,communication,management","$70k–$150k","Sports + Business","https://www.onetonline.org/link/summary/11-9039.00","false"
"Sports Statistician","Sports & Fitness","Tech & Engineering, Science & Research","You collect and analyze game data to find patterns that help teams make smarter decisions about player recruitment, game strategy, and training focus. Your number-crunching work turns raw stats into competitive advantages that can change the outcome of seasons.","Analytical,Detail-oriented,Curious,Methodical","data,analytical,systems,independent,technical,numbers","$55k–$95k","Sports + Data","https://www.onetonline.org/link/summary/15-2041.00","false"
"Sports Psychologist","Sports & Fitness","Healthcare & Medicine, Education & Coaching","You help athletes overcome mental blocks, manage performance anxiety, and build confidence through psychological techniques and counseling. Your work with their minds is often what separates good athletes from champions who perform under pressure.","Empathetic,Patient,Analytical,Supportive","people,calm,analytical,independent,counseling,mental-health","$60k–$100k","Sports + Psychology","https://www.onetonline.org/link/summary/19-3039.02","false"
"Strength and Conditioning Coach","Sports & Fitness","Healthcare & Medicine, Education & Coaching","You design and supervise workout programs that build athletes' strength, speed, and endurance while preventing injuries. Your training regimens transform raw talent into peak physical performance, working closely with athletes through grueling sessions.","Motivating,Disciplined,Knowledgeable,Energetic","physical,people,hands-on,leadership,fitness,coaching","$40k–$75k","","https://www.bls.gov/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm","false"
"Sports Agent","Sports & Fitness","Business & Finance, Law & Government","You represent professional athletes in contract negotiations, endorsement deals, and career decisions, fighting to get them the best possible terms. Your negotiation skills and industry connections directly impact your clients' earnings and long-term financial security.","Persuasive,Strategic,Confident,Relationship-focused","people,business,negotiation,fast,communication,networking","$50k–$200k+","Sports + Business","https://www.onetonline.org/link/summary/13-1011.00","false"
"Athletic Trainer","Sports & Fitness","Healthcare & Medicine","You prevent, diagnose, and treat muscle and bone injuries for athletes, providing immediate care on the sidelines and designing rehabilitation programs. Your quick assessments and treatment decisions often determine whether an athlete can safely return to play.","Calm under pressure,Knowledgeable,Caring,Quick-thinking","people,physical,hands-on,healthcare,fast,problem-solving","$40k–$65k","Sports + Healthcare","https://www.bls.gov/ooh/healthcare/athletic-trainers.htm","false"
"Sports Dietitian","Sports & Fitness","Healthcare & Medicine, Science & Research","You create customized nutrition plans that fuel athletes' training, recovery, and competition performance based on their sport and body composition. Your meal plans and supplement guidance help athletes gain muscle, lose weight, or sustain energy for marathon events.","Detail-oriented,Scientific,Supportive,Practical","people,analytical,science,health,planning,nutrition","$50k–$80k","Sports + Nutrition","https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm","false"
"Sports Information Director","Sports & Fitness","Media & Journalism, Business & Finance","You manage all communications and media relations for a college or professional sports team, writing press releases, updating statistics, and coordinating with journalists. Your work shapes how fans, media, and recruits perceive your team and its athletes.","Organized,Quick-thinking,Detail-oriented,Communicative","writing,communication,fast,people,media,deadline-driven","$35k–$70k","Sports + Media","https://www.onetonline.org/link/summary/27-3031.00","false"
"Recreation Therapist","Sports & Fitness","Healthcare & Medicine, Social Impact & Nonprofit","You use sports, games, and physical activities to help people recovering from injuries, disabilities, or mental health challenges regain function and confidence. Your creative activity plans turn rehabilitation from a chore into an engaging journey toward independence.","Empathetic,Creative,Patient,Adaptable","people,creative,caring,hands-on,healthcare,adaptive","$40k–$60k","Sports + Healthcare","https://www.bls.gov/ooh/healthcare/recreational-therapists.htm","false"
"Sports Event Coordinator","Sports & Fitness","Hospitality & Events, Business & Finance","You plan and execute sporting events from local tournaments to major championships, handling everything from venue booking to volunteer management. Your behind-the-scenes coordination ensures thousands of athletes and spectators have seamless, memorable experiences.","Organized,Flexible,Detail-oriented,Energetic","people,planning,fast,systems,logistics,events","$45k–$75k","Sports + Events","https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm","false"
"Groundskeeper (Sports Turf Manager)","Sports & Fitness","Environment & Sustainability, Science & Research","You maintain the playing surfaces at stadiums and athletic fields, managing grass health, drainage, and field markings to professional standards. Your expertise in soil science and turf management creates the perfect conditions for athletes to compete safely.","Detail-oriented,Patient,Practical,Hardworking","outdoor,hands-on,physical,independent,science,nature","$35k–$65k","Sports + Environment","https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm","false"
"Sports Equipment Manager","Sports & Fitness","Business & Finance","You organize, maintain, and distribute all the gear and equipment that teams need, from uniforms to protective padding to training tools. Your meticulous inventory management and equipment prep ensure athletes always have exactly what they need to perform.","Organized,Reliable,Detail-oriented,Resourceful","hands-on,systems,organized,physical,logistics,inventory","$30k–$55k","","https://www.onetonline.org/link/summary/39-3091.00","false"
"Sports Physical Therapist","Sports & Fitness","Healthcare & Medicine","You rehabilitate athletes recovering from injuries like torn ligaments, fractures, and muscle strains through targeted exercises and manual therapy. Your treatment plans help athletes return to competition stronger and teach them how to prevent future injuries.","Patient,Analytical,Encouraging,Hands-on","people,hands-on,healthcare,physical,problem-solving,anatomy","$70k–$100k","Sports + Healthcare","https://www.bls.gov/ooh/healthcare/physical-therapists.htm","false"
"Referee/Umpire","Sports & Fitness","","You enforce the rules of the game during athletic competitions, making split-second decisions that impact outcomes while managing player conduct. Your authority and fairness keep games safe, competitive, and true to the spirit of the sport.","Decisive,Fair-minded,Calm under pressure,Authoritative","fast,physical,independent,leadership,decision-making,rules","$30k–$60k","","https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm","false"
"Exercise Physiologist","Sports & Fitness","Healthcare & Medicine, Science & Research","You study how the body responds to exercise by conducting fitness assessments and designing evidence-based workout programs. Your scientific approach helps athletes optimize their training and helps patients with chronic diseases improve their health through movement.","Scientific,Detail-oriented,Analytical,Patient","science,analytical,data,people,research,health","$45k–$65k","Sports + Science","https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm","false"
"Sports Marketing Manager","Sports & Fitness","Business & Finance, Media & Journalism","You develop campaigns to promote teams, athletes, or sporting events, managing sponsorship deals, social media presence, and fan engagement initiatives. Your creative strategies build passionate fanbases and generate the revenue that keeps sports organizations thriving.","Creative,Strategic,Persuasive,Energetic","creative,business,communication,people,marketing,fast","$55k–$110k","Sports + Marketing","https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm","false"
"Adaptive Sports Specialist","Sports & Fitness","Social Impact & Nonprofit, Education & Coaching","You modify sports and recreational activities for people with disabilities, coaching wheelchair basketball, adaptive skiing, or seated volleyball programs. Your work breaks down barriers and proves that everyone deserves the joy and benefits of athletic competition.","Empathetic,Creative,Patient,Adaptable","people,creative,caring,adaptive,coaching,inclusive","$35k–$55k","Sports + Social Impact","https://www.onetonline.org/link/summary/39-9032.00","false"
"Golf Course Superintendent","Sports & Fitness","Environment & Sustainability, Business & Finance","You manage the entire maintenance operation of a golf course, supervising crews and making agronomic decisions about irrigation, pest control, and turf health. Your expertise transforms acres of land into pristine playing conditions that golfers travel miles to experience.","Leadership,Detail-oriented,Scientific,Practical","outdoor,leadership,science,management,nature,systems","$60k–$120k","Sports + Environment","https://www.onetonline.org/link/summary/37-1012.00","false"
"Sports Video Analyst","Sports & Fitness","Tech & Engineering, Media & Journalism","You break down game footage to identify patterns, weaknesses, and opportunities that coaches use to develop winning strategies. Your detailed video reports help teams prepare for opponents and give athletes visual feedback to refine their techniques.","Analytical,Detail-oriented,Patient,Technical","analytical,data,visual,technical,independent,video","$40k–$70k","Sports + Tech","https://www.onetonline.org/link/summary/27-4032.00","false"
"Textile Technologist","Fashion & Beauty","Tech & Engineering, Science & Research","You develop and test new fabrics in labs, experimenting with materials that might be waterproof, fire-resistant, or made from recycled ocean plastic. Your innovations end up in everything from athletic wear to medical bandages.","Analytical,Innovative,Detail-oriented,Curious","hands-on,systems,data,independent,creative,visual","$55k–$95k","Fashion + Science","https://www.onetonline.org/link/summary/19-2032.00","false"
"Fashion Merchandiser","Fashion & Beauty","Business & Finance","You analyze trends and sales data to decide which clothing items stores should stock and how to display them. Your decisions directly impact what millions of shoppers see when they walk into a store or browse online.","Analytical,Trend-savvy,Persuasive,Strategic","data,visual,fast,creative,people,systems","$45k–$85k","Fashion + Business","https://www.onetonline.org/link/summary/13-1022.00","false"
"Cosmetic Chemist","Fashion & Beauty","Science & Research, Healthcare & Medicine","You formulate skincare products, lipsticks, and hair treatments in a lab, balancing chemistry with consumer appeal. You ensure products are safe, effective, and feel luxurious on the skin.","Scientific,Creative,Meticulous,Patient","hands-on,data,independent,creative,systems,analytical","$60k–$110k","Beauty + Science","https://www.onetonline.org/link/summary/19-2031.00","false"
"Costume Designer","Fashion & Beauty","Arts & Performance, Media & Journalism","You research time periods and character personalities to create wardrobes for film, theater, and TV productions. Your designs help actors transform into their characters and transport audiences to different worlds.","Creative,Collaborative,Resourceful,Historical-minded","creative,visual,people,hands-on,independent,fast","$40k–$85k","Fashion + Entertainment","https://www.onetonline.org/link/summary/27-1022.00","false"
"Nail Technician","Fashion & Beauty","","You transform clients' nails into miniature works of art while providing relaxing manicures and pedicures. You build loyal clientele who trust you to help them express their personal style.","Artistic,Steady-handed,Personable,Patient","people,creative,hands-on,visual,calm,independent","$28k–$50k","","https://www.bls.gov/ooh/personal-care-and-service/manicurists-and-pedicurists.htm","false"
"Fashion Photographer","Fashion & Beauty","Design & Creative, Media & Journalism","You capture clothing, accessories, and beauty products in compelling images for magazines, advertisements, and online campaigns. You direct models, choose lighting, and create visual stories that make people want to buy.","Creative,Technical,Directive,Adaptable","creative,visual,people,fast,independent,travel","$35k–$90k","Fashion + Media","https://www.bls.gov/ooh/media-and-communication/photographers.htm","false"
"Pattern Maker","Fashion & Beauty","Design & Creative, Tech & Engineering","You translate designers' sketches into precise technical blueprints that factories use to mass-produce garments. Your mathematical precision ensures that a size medium fits perfectly whether it's made in New York or Vietnam.","Precise,Technical,Spatial-thinker,Detail-oriented","analytical,hands-on,systems,independent,visual,data","$40k–$75k","Fashion + Engineering","https://www.onetonline.org/link/summary/51-6092.00","false"
"Esthetician","Fashion & Beauty","Healthcare & Medicine","You perform facials, chemical peels, and other skin treatments to help clients achieve healthier, clearer skin. You analyze skin conditions and create personalized treatment plans that boost people's confidence.","Caring,Knowledgeable,Gentle,Attentive","people,hands-on,calm,creative,independent,visual","$30k–$60k","","https://www.bls.gov/ooh/personal-care-and-service/skincare-specialists.htm","false"
"Fashion Stylist","Fashion & Beauty","Media & Journalism, Arts & Performance","You select and coordinate outfits for photo shoots, celebrities, or everyday clients looking to refresh their wardrobe. You stay ahead of trends and know how to make anyone look their absolute best.","Creative,Trend-aware,Confident,Personable","creative,people,visual,fast,travel,independent","$35k–$85k","","https://www.onetonline.org/link/summary/27-1026.00","false"
"Footwear Designer","Fashion & Beauty","Design & Creative, Tech & Engineering","You sketch and prototype shoes, balancing aesthetics with comfort, durability, and manufacturing feasibility. Your designs might end up on runways, in athletic competitions, or on millions of everyday feet.","Creative,Technical,Trend-savvy,Problem-solver","creative,visual,hands-on,independent,systems,analytical","$50k–$100k","Fashion + Design","https://www.onetonline.org/link/summary/27-1022.00","false"
"Theatrical Makeup Artist","Fashion & Beauty","Arts & Performance, Media & Journalism","You use prosthetics, special effects, and traditional makeup to transform actors into characters ranging from monsters to historical figures. Your work under hot stage lights requires techniques completely different from everyday beauty.","Artistic,Imaginative,Calm-under-pressure,Collaborative","creative,visual,people,hands-on,fast,independent","$35k–$80k","Beauty + Entertainment","https://www.onetonline.org/link/summary/39-5091.00","false"
"Fashion Buyer","Fashion & Beauty","Business & Finance","You travel to fashion shows and showrooms to select which items your store will carry next season, negotiating prices and quantities. Your trend predictions and business instincts directly affect company profits.","Analytical,Decisive,Trend-savvy,Negotiator","travel,data,people,fast,systems,analytical","$50k–$100k","Fashion + Business","https://www.bls.gov/ooh/business-and-financial/buyers-and-purchasing-agents.htm","false"
"Wig Maker","Fashion & Beauty","Arts & Performance, Healthcare & Medicine","You hand-tie individual strands of hair into custom wigs for theater productions, cancer patients, or anyone experiencing hair loss. Your painstaking craftsmanship helps people feel like themselves again.","Patient,Precise,Empathetic,Artistic","hands-on,calm,independent,creative,people,visual","$30k–$65k","Beauty + Healthcare","https://www.onetonline.org/link/summary/51-9199.00","false"
"Visual Merchandiser","Fashion & Beauty","Design & Creative, Business & Finance","You design eye-catching window displays and store layouts that stop shoppers in their tracks and guide them through retail spaces. Your creative installations turn shopping into an experience.","Creative,Spatial-thinker,Trend-aware,Physical","creative,visual,hands-on,physical,fast,independent","$35k–$65k","Fashion + Design","https://www.onetonline.org/link/summary/27-1026.00","false"
"Fashion Technical Designer","Fashion & Beauty","Tech & Engineering, Design & Creative","You create detailed specification sheets and work with overseas factories to ensure garments are constructed correctly and fit properly. You bridge the gap between creative vision and manufacturing reality.","Detail-oriented,Technical,Communicative,Problem-solver","analytical,systems,data,independent,visual,writing","$55k–$95k","Fashion + Engineering","https://www.onetonline.org/link/summary/27-1022.00","false"
"Color Specialist","Fashion & Beauty","Design & Creative, Science & Research","You predict color trends years in advance and develop the exact dye formulas that factories will use to produce next season's fashions. Your choices influence what colors people will be wearing worldwide.","Visionary,Analytical,Creative,Trend-forecaster","creative,visual,analytical,independent,data,systems","$50k–$90k","Fashion + Science","https://www.onetonline.org/link/summary/27-1021.00","false"
"Hairstylist","Fashion & Beauty","","You cut, color, and style hair to help clients express their personalities and feel confident. You build relationships with regulars while constantly learning new techniques and trends.","Creative,Personable,Trend-aware,Steady-handed","people,creative,hands-on,visual,independent,fast","$28k–$55k","","https://www.bls.gov/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm","false"
"Fashion Sustainability Manager","Fashion & Beauty","Environment & Sustainability, Business & Finance","You audit supply chains and develop strategies to reduce fashion brands' environmental impact, from sourcing organic cotton to implementing recycling programs. You're changing an industry notorious for waste.","Strategic,Passionate,Analytical,Persuasive","systems,data,people,analytical,leadership,writing","$60k–$110k","Fashion + Sustainability","https://www.onetonline.org/link/summary/11-9199.00","false"
"Jewelry Designer","Fashion & Beauty","Design & Creative, Entrepreneurship","You sketch and create rings, necklaces, and other adornments using precious metals, gems, and innovative materials. Your pieces might be one-of-a-kind art or mass-produced accessories worn by thousands.","Artistic,Precise,Creative,Business-minded","creative,visual,hands-on,independent,analytical,entrepreneurship","$35k–$75k","","https://www.bls.gov/ooh/production/jewelers-and-precious-stone-and-metal-workers.htm","false"
"Fashion Show Producer","Fashion & Beauty","Hospitality & Events, Media & Journalism","You orchestrate every detail of runway shows, from booking venues and coordinating models to managing lighting, music, and backstage chaos. You create the spectacles that launch trends worldwide.","Organized,Calm-under-pressure,Creative,Leadership","leadership,fast,people,creative,visual,travel","$45k–$95k","Fashion + Events","https://www.onetonline.org/link/summary/13-1121.00","false"
"Franchise Owner","Entrepreneurship","Business & Finance, Hospitality & Events","You own and operate a licensed branch of an established brand, managing staff, finances, and daily operations. You build a local business while following a proven system that reduces startup risk.","Organized,Leadership-driven,Risk-tolerant,People-focused","leadership,systems,people,independent,business,hands-on","$50k–$150k","","https://www.onetonline.org/link/summary/11-1021.00","false"
"E-commerce Entrepreneur","Entrepreneurship","Tech & Engineering, Business & Finance","You build and run online stores, sourcing products, managing inventory, and optimizing digital marketing to drive sales. You analyze customer data to improve shopping experiences and grow your brand across platforms.","Analytical,Self-motivated,Adaptable,Tech-savvy","data,systems,creative,independent,fast,digital","$35k–$200k","Business + Tech","https://www.onetonline.org/link/summary/11-2022.00","false"
"Social Enterprise Founder","Entrepreneurship","Social Impact & Nonprofit, Business & Finance","You launch businesses designed to solve social problems while generating sustainable revenue. You balance mission-driven goals with financial planning to create lasting community impact.","Visionary,Empathetic,Persistent,Strategic","people,leadership,creative,independent,systems,purpose","$40k–$120k","Business + Social Impact","https://www.onetonline.org/link/summary/11-1011.00","false"
