tier,score,id,name,keyword,found_in,primary_industry,secondary_industries,expected_any_of,created_at,description
MEDIUM,10,89c91c99-7fe8-43c4-af6a-34ebd835dc69,Medical School Admissions Counselor,Medical,title,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Architecture & Urban Planning",Healthcare & Medicine / Science & Research,2026-04-22T02:52:32.680575+00:00,"You guide ambitious pre-med students through the competitive medical school application process, reviewing essays, advising on clinical experiences, and strategizing their candidacy to land acceptances at top programs."
LOW,10,cbfb113d-d5d5-41c9-a016-27727bd26878,Metallurgist,Aircraft,description,Science & Research,"Tech & Engineering,Environment & Sustainability",Aviation & Transportation,2026-07-18T02:55:04.791024+00:00,"You analyze and transform raw metals and minerals into high-performance materials, testing their properties in labs and foundries to create everything from aircraft parts to smartphone components."
LOW,10,be7f6e66-fca2-4f6b-a416-5fe8d5aef429,Opera House Director,Performer,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance / Sports & Fitness,2026-04-22T02:52:33.86077+00:00,You orchestrate every detail of an opera house's artistic vision and operations—from selecting world-class performers and designing seasons to managing budgets and building audiences—creating unforgettable cultural experiences that move thousands.
LOW,10,2c896c2c-5b5c-4942-8cc4-2b4f4093da1b,Opera House Manager,Performer,description,Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",Arts & Performance / Sports & Fitness,2026-04-22T02:52:29.422718+00:00,You orchestrate every detail of an opera house's operations—from booking world-class performers and managing budgets to ensuring flawless performances and creating unforgettable experiences for thousands of patrons.
MEDIUM,10,f9932587-8489-463d-bac4-09cfb2c48418,Photography Editor,Editor,title,Science & Research,"Healthcare & Medicine,Tech & Engineering",Media & Journalism / Design & Creative / Arts & Performance / Marketing & Communications,2026-04-22T02:52:34.239097+00:00,"You curate, enhance, and perfect visual stories by selecting, editing, and color-grading photographs to tell compelling narratives that shape how millions see the world."
MEDIUM,10,ed5a5441-0fb8-497d-ac79-7affc15bc9c1,Pickleball Coach,Coach,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Sports & Fitness / Education & Coaching / Business & Finance / Social Impact & Nonprofit,2026-04-22T02:52:29.206458+00:00,"You teach players of all ages the fundamentals and strategy of pickleball, running drills on outdoor courts and building a thriving community around this fast-growing sport."
LOW,10,8a7b8a97-d09e-4766-a214-4640b6f7df48,Print Designer,Typograph,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Design & Creative / Arts & Performance,2026-04-22T02:52:32.086589+00:00,"You transform ideas into visuals by designing layouts, selecting typography, and creating stunning printed materials—from brochures to packaging—that grab attention and communicate messages clearly."
LOW,10,67ecd732-aed6-44f9-a90d-b0dec8512408,Publication Designer,Typograph,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Design & Creative / Arts & Performance,2026-04-22T02:52:33.087307+00:00,"You design beautiful, functional layouts for magazines, books, and digital publications—choosing typography, imagery, and visual hierarchy to tell stories that captivate readers."
LOW,10,dd07966d-e946-483e-93ad-893d0e0fa1cf,Publisher Relations Manager,Journalist,description,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Media & Journalism,2026-04-22T02:52:29.422718+00:00,"You build and maintain relationships with media outlets and journalists, pitching stories and managing communications that get your organization's message into the news."
MEDIUM,10,fee8b398-e0f8-4673-b134-4efe6305bdf3,Publishing Acquisitions Editor,Editor,title,Entrepreneurship,"Business & Finance,Tech & Engineering",Media & Journalism / Design & Creative / Arts & Performance / Marketing & Communications,2026-04-22T02:52:31.660242+00:00,"You discover and champion manuscripts that become bestsellers, reading pitches and manuscripts to decide which stories deserve publication while shaping what millions of readers encounter."
LOW,10,38dd3be2-42b9-4746-a7b0-41ce36689b12,Puppetry Director,Performer,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance / Sports & Fitness,2026-04-22T02:52:33.087307+00:00,"You bring stories to life by directing puppet performers, designing intricate movements, and crafting emotional narratives that captivate audiences of all ages through innovative theatrical productions."
MEDIUM,10,7276d1f2-a16d-4067-ab87-62ee8772ab90,Rugby Coach,Coach,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Sports & Fitness / Education & Coaching / Business & Finance / Social Impact & Nonprofit,2026-04-22T02:52:32.271017+00:00,"You train athletes to master rugby tactics, build physical strength, and develop teamwork while leading practices, analyzing game footage, and pushing players to compete at their highest level."
LOW,10,fe09d3cb-afad-4628-911c-017a62b780d9,Set Designer (Film & TV),Actor,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance / Media & Journalism,2026-04-22T02:52:30.082186+00:00,"You transform scripts into immersive visual worlds by designing and building physical sets for film and television productions, shaping every detail that actors perform within and audiences see on screen."
LOW,10,d6ec233a-e9bf-4ccf-b3ed-be474e41edfe,Signage and Wayfinding Designer,Typograph,description,Healthcare & Medicine,"Science & Research,Tech & Engineering,Architecture & Urban Planning",Design & Creative / Arts & Performance,2026-04-22T02:52:30.655222+00:00,"You design clear, creative visual systems that guide people through spaces—from airport terminals to hospital corridors—solving real navigation problems with bold typography, color, and strategic placement."
LOW,10,31155388-b1c3-425f-b2aa-39bb30739595,Spa Director,Hotel,description,Fashion & Beauty,"Design & Creative,Marketing & Communications,Healthcare & Medicine",Hospitality & Events,2026-04-22T02:52:30.47108+00:00,"You oversee all operations of hotel or resort spas—hiring therapists, designing treatment menus, and ensuring guests leave deeply relaxed. Your business savvy and wellness expertise create profitable sanctuaries of self-care."
LOW,10,57bed206-78d9-4ffc-aabd-7bae27487ede,Specialty Food Brand Founder,Culinary,description,Entrepreneurship,"Business & Finance,Design & Creative",Food & Culinary / Hospitality & Events,2026-05-03T01:51:45.746394+00:00,"You develop unique food products, build your brand story, and grow a business from concept to store shelves—blending culinary creativity with marketing savvy and hands-on entrepreneurial grit."
LOW,10,e88cd8b4-b70f-4f61-8331-d1e8cb115cb1,Specialty Food Product Founder,Supply Chain,description,Entrepreneurship,"Business & Finance,Design & Creative",Supply Chain & Operations,2026-06-28T04:22:18.268218+00:00,"You develop, test, and market unique food products—from artisan sauces to plant-based snacks—managing everything from recipe perfection to supply chains and customer feedback."
LOW,10,b4e4804d-327f-483b-8237-aac125625077,Sports Information Director,Journalist,description,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",Media & Journalism,2026-04-22T02:52:30.47108+00:00,"You manage media relations for college or professional sports teams, writing press releases, compiling statistics, and coordinating interviews between athletes and journalists. Your work shapes how teams are portrayed in the media and builds their public image."
LOW,10,ad3ef235-727f-4b5a-912c-6b9b0ffbf62c,Talent Agent,Musician,description,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Arts & Performance,2026-04-22T02:52:33.86077+00:00,"You discover and represent talented actors, musicians, and athletes, negotiating deals and managing their careers while building their brands into household names."
MEDIUM,10,a99a5ffd-cc20-4b03-8ea9-0310d57fcd64,Textile Quality Assurance Inspector,Inspector,title,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Law & Government / Environment & Sustainability / Architecture & Urban Planning / Supply Chain & Operations / Food & Culinary / Aviation & Transportation,2026-04-22T02:52:34.616352+00:00,"You inspect fabrics and finished garments for defects, color consistency, and quality standards—catching problems before products reach customers and ensuring brands maintain their reputation."
MEDIUM,10,faa72a6c-e66c-469e-b34c-306b4a987661,Textile Quality Control Inspector,Inspector,title,Fashion & Beauty,"Science & Research,Tech & Engineering",Law & Government / Environment & Sustainability / Architecture & Urban Planning / Supply Chain & Operations / Food & Culinary / Aviation & Transportation,2026-06-20T02:15:40.972769+00:00,"You inspect fabrics and finished garments for defects, color inconsistencies, and quality standards, ensuring every piece meets brand specifications before it reaches customers."
MEDIUM,10,1377a2ea-e42b-488a-9733-32fcb9856b19,Textile Quality Inspector,Inspector,title,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Law & Government / Environment & Sustainability / Architecture & Urban Planning / Supply Chain & Operations / Food & Culinary / Aviation & Transportation,2026-04-22T02:52:34.465719+00:00,"You meticulously examine fabrics and finished garments for defects, color consistency, and quality standards—ensuring every piece meets brand expectations before it reaches customers."
MEDIUM,10,1225f289-838c-4818-adfe-fe7108f20cf2,Textiles Quality Control Inspector,Inspector,title,Fashion & Beauty,"Design & Creative,Science & Research",Law & Government / Environment & Sustainability / Architecture & Urban Planning / Supply Chain & Operations / Food & Culinary / Aviation & Transportation,2026-05-16T02:00:36.54075+00:00,"You inspect fabrics and garments for defects, color consistency, and quality standards—catching issues before products reach customers and ensuring every piece meets brand expectations."
LOW,10,f32ff43f-77f0-4665-80af-20ff98cffe1d,Theatrical Prop Designer,Actor,description,Food & Culinary,"Hospitality & Events,Business & Finance,Architecture & Urban Planning",Arts & Performance / Media & Journalism,2026-04-22T02:52:32.271017+00:00,"You research, design, and build the objects actors handle on stage—from realistic food to magical artifacts that transform during performances. Your craft combines historical research, sculpting, and creative problem-solving under tight deadlines."
LOW,10,0e891500-52d6-40bb-884e-b558f5b9b2a8,Wig Designer,Performer,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance / Sports & Fitness,2026-04-22T02:52:30.655222+00:00,"You craft custom wigs and hairpieces that transform actors, performers, and clients by blending design creativity with technical skill, bringing characters to life and boosting confidence one head at a time."
LOW,10,ed0c1c14-e039-4a25-ae6f-d61363c04866,Wig Technician,Performer,description,Fashion & Beauty,"Design & Creative,Marketing & Communications,Science & Research",Arts & Performance / Sports & Fitness,2026-04-22T02:52:31.845128+00:00,"You create, style, and maintain custom wigs and hairpieces for performers, patients, and clients, transforming their appearance and boosting their confidence with precision craftsmanship and creative flair."
LOW,10,a6c5d501-acc1-41a9-9257-986891deb762,Wildlife Rehabilitator,Nurse,description,Environment & Sustainability,"Science & Research,Law & Government",Healthcare & Medicine,2026-04-22T02:52:34.239097+00:00,"You nurse injured and orphaned wildlife back to health, performing medical care and rehabilitation in sanctuaries and release programs that restore animals to the wild."
LOW,8,6cd8daaf-9be8-413c-b2ae-c27449fa7daa,Activewear Designer,Fitness,description,Fashion & Beauty,"Design & Creative,Marketing & Communications,Architecture & Urban Planning",Sports & Fitness / Healthcare & Medicine,2026-04-22T02:52:32.086589+00:00,"You design high-performance clothing that keeps athletes moving, sketching innovative activewear pieces and selecting fabrics that blend style with function to help people crush their fitness goals."
LOW,8,28ae8f72-5006-42af-a07a-6b1bedb4f797,Advanced Placement (AP) Test Coordinator,Logistics,description,Education & Coaching,"Business & Finance,Law & Government",Supply Chain & Operations / Aviation & Transportation,2026-07-22T03:18:15.770315+00:00,"You orchestrate the logistics and administration of AP exams for your school, managing registrations, proctoring schedules, test security protocols, and student accommodations to ensure hundreds of students can successfully demonstrate their mastery."
LOW,8,99cd0e08-c663-4d5b-9b9c-4d15e288877f,Adventure Travel Coordinator,Logistics,description,Hospitality & Events,"Entrepreneurship,Environment & Sustainability",Supply Chain & Operations / Aviation & Transportation,2026-06-23T04:04:37.622645+00:00,"You design and execute thrilling multi-day expeditions—rock climbing in Patagonia, kayaking through fjords, safari adventures—handling logistics, safety, client communication, and unforgettable moments from start to finish."
LOW,8,37737717-2ef7-48a7-9006-83bacb9bf09f,Artisanal Food Producer,Marketing,description,Entrepreneurship,"Environment & Sustainability,Design & Creative",Marketing & Communications / Business & Finance / Media & Journalism,2026-04-22T02:52:34.465719+00:00,"You craft small-batch foods—from artisan cheese to sourdough bread to pickled vegetables—building a loyal customer base through farmers markets, online sales, and local restaurants while managing every aspect from sourcing ingredients to packaging and marketing."
LOW,8,67ab48b9-6ca6-4b57-804f-d7a7fdffa1bb,Artist Residency Coordinator,Logistics,description,Arts & Performance,"Hospitality & Events,Social Impact & Nonprofit",Supply Chain & Operations / Aviation & Transportation,2026-04-27T07:57:44.899938+00:00,"You curate studio spaces, match artists with residency opportunities, and manage logistics so creative minds can focus entirely on making their best work."
LOW,8,d20bf9a4-db65-4ce8-801a-e641829eb121,Artist Residency Program Manager,Logistics,description,Arts & Performance,"Education & Coaching,Entrepreneurship",Supply Chain & Operations / Aviation & Transportation,2026-06-12T02:33:46.404023+00:00,"You curate transformative creative spaces by recruiting artists, designing residency programs, and managing logistics so emerging talent can focus entirely on making bold work."
LOW,8,3f45fb90-0589-4556-87fa-d0323a7df4a1,Artist-in-Residence Coordinator,Logistics,description,Arts & Performance,"Education & Coaching,Hospitality & Events",Supply Chain & Operations / Aviation & Transportation,2026-07-19T03:25:35.798683+00:00,"You curate, manage, and support visiting artists through residency programs, handling everything from studio logistics to community events while connecting creative talent with institutional resources and audiences."
LOW,8,65caa85a-ff60-4e50-9f02-ef4d1fda08b6,Arts Accessibility Coordinator,Theater,description,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Arts & Performance,2026-04-22T02:52:34.05043+00:00,"You design and implement accessibility solutions for theaters, galleries, and performance venues, ensuring disabled audiences can fully experience art through adaptive technologies, sensory accommodations, and inclusive programming."
LOW,8,35596978-4721-438e-9436-0596c964c110,Arts Administrator,Theater,description,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Supply Chain & Operations",Arts & Performance,2026-04-22T02:52:29.206458+00:00,"You orchestrate the behind-the-scenes magic of theaters, museums, and performance venues—managing budgets, coordinating events, handling logistics, and connecting artists with audiences to keep cultural institutions thriving."
LOW,8,683b6489-3b61-45bf-9489-68304e239d0f,Arts Educator,Theatre,description,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Science & Research",Arts & Performance,2026-04-22T02:52:29.422718+00:00,"You inspire students to express themselves through painting, music, theatre, or dance while building their confidence and creative skills in dynamic classroom and studio settings."
LOW,8,4ab6ea6d-20de-4533-80f6-d50d796c574a,Arts Residency Coordinator,Logistics,description,Arts & Performance,"Education & Coaching,Social Impact & Nonprofit",Supply Chain & Operations / Aviation & Transportation,2026-06-23T04:02:48.068967+00:00,"You curate and manage immersive artist residency programs, matching talented creators with studios, funding, and mentorship while handling logistics, partnerships, and community impact."
LOW,8,57f67a90-d7a5-46e7-87ee-b3782414be96,Astrochemist,Makeup,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Fashion & Beauty / Arts & Performance / Media & Journalism,2026-04-22T02:52:34.465719+00:00,"You study the chemical makeup of stars, planets, and interstellar space using telescope data and laboratory simulations. Your research on space molecules helps explain how organic compounds—the building blocks of life—form throughout the universe."
LOW,8,1cf5ac86-81ce-4f0f-9408-e82cccddd041,Audio Engineer (Recording Studio),Software,description,Media & Journalism,"Arts & Performance,Design & Creative",Tech & Engineering / Gaming & Esports / Cybersecurity,2026-07-17T03:17:48.796617+00:00,"You capture, mix, and master sound recordings by operating complex equipment and using software to shape how artists' voices and instruments sound to the world."
LOW,8,36a016d3-e356-47b7-b16c-cfd562203f31,Band Manager,Logistics,description,Arts & Performance,"Business & Finance,Entrepreneurship",Supply Chain & Operations / Aviation & Transportation,2026-08-07T02:55:27.419977+00:00,"You juggle contracts, tour logistics, and creative vision as the business backbone of a music group, negotiating deals and solving problems so your artists can focus on making hits."
LOW,8,cb02dae1-720e-42ba-82a2-798c1afa5d67,Biomechanics Research Specialist,Software,description,Sports & Fitness,"Healthcare & Medicine,Science & Research",Tech & Engineering / Gaming & Esports / Cybersecurity,2026-04-22T02:52:33.295118+00:00,"You analyze how bodies move and perform, using sensors and software to help athletes move faster and prevent injuries by uncovering the biomechanics behind every jump, sprint, and throw."
LOW,8,412fc54a-9d79-4681-8721-47db747da8f4,Bridal Stylist,Makeup,description,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Fashion & Beauty / Arts & Performance / Media & Journalism,2026-04-22T02:52:32.496342+00:00,"You transform brides into their most radiant selves by curating stunning wedding looks—from gowns and accessories to hair and makeup—while managing timelines, budgets, and those crucial pre-wedding jitters."
LOW,8,28c669b2-396d-4618-80ff-c9f4284f989c,Broadcasting Director,Broadcast,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Marketing & Communications",Media & Journalism / Arts & Performance,2026-04-22T02:52:31.660242+00:00,"You orchestrate live broadcasts and studio productions, making split-second decisions to manage cameras, audio, graphics, and talent while commanding a control room team to deliver compelling content to thousands of viewers."
LOW,8,876c7b93-655b-478c-af03-557d12a71aff,Ceramic Artist Studio Owner,Marketing,description,Arts & Performance,"Entrepreneurship,Design & Creative",Marketing & Communications / Business & Finance / Media & Journalism,2026-06-14T02:37:17.60716+00:00,"You design and craft beautiful ceramic pieces in your own studio, then sell them directly to customers while managing the business side—from marketing to finances to fulfilling orders."
LOW,8,ca28a191-4882-465b-ab4a-3404799f46df,Classical Music Impresario,Logistics,description,Arts & Performance,"Business & Finance,Hospitality & Events",Supply Chain & Operations / Aviation & Transportation,2026-05-24T02:09:22.901836+00:00,"You curate and produce world-class classical music performances, selecting repertoire and artists while managing every detail from venue logistics to audience experience, bringing timeless masterworks to life."
LOW,8,8b380c8b-4085-487f-b2ec-8b2b6dde3369,Climate Fintech Founder,Investment,description,Entrepreneurship,"Tech & Engineering,Environment & Sustainability",Business & Finance,2026-07-20T03:39:51.077611+00:00,"You build and scale tech companies that use finance and investment to solve climate change, combining coding, pitch decks, and investor meetings to turn green ideas into profitable businesses."
LOW,8,e0795c5d-d390-4161-b26f-e427e8dacfb2,Club Manager (Nightlife/Social),Logistics,description,Hospitality & Events,"Business & Finance,Entrepreneurship",Supply Chain & Operations / Aviation & Transportation,2026-06-11T02:39:13.522929+00:00,"You curate unforgettable nightlife experiences by managing staff, entertaining crowds, handling logistics, and building a thriving community of regular guests night after night."
LOW,8,4c02782e-e221-4cf0-b43a-6da4d104b69a,Coast Guard Officer,Maritime,description,Law & Government,"Healthcare & Medicine,Social Impact & Nonprofit",Aviation & Transportation / Supply Chain & Operations / Environment & Sustainability,2026-04-29T02:00:59.113899+00:00,"You patrol coastal waters and respond to emergencies, rescuing people in distress, enforcing maritime laws, and protecting America's shores with precision and courage."
LOW,8,02d6755b-6c1d-4b8c-bbaf-8189af076ad7,Color Grading Specialist (Textiles),Software,description,Fashion & Beauty,"Design & Creative,Science & Research",Tech & Engineering / Gaming & Esports / Cybersecurity,2026-05-30T02:02:38.956261+00:00,"You analyze and adjust fabric colors throughout production, using specialized software and eye-training to ensure every textile batch matches brand standards and customer expectations."
LOW,8,4fdd3728-84d4-40b8-ae8e-1d1afbff3c81,Color Grading Technician (Beauty Retail),Marketing,description,Fashion & Beauty,"Design & Creative,Tech & Engineering",Marketing & Communications / Business & Finance / Media & Journalism,2026-07-14T02:54:23.334819+00:00,"You analyze and adjust skin tones, undertones, and color palettes in beauty product photography and marketing materials to ensure accurate representation across different skin types and lighting conditions."
LOW,8,a3253baa-1b96-47ba-a650-38eedfea48aa,Commercial Real Estate Analyst,Investment,description,Fashion & Beauty,"Design & Creative,Marketing & Communications,Science & Research",Business & Finance,2026-04-22T02:52:29.646164+00:00,"You analyze property values, market trends, and investment potential to help companies and investors make profitable real estate decisions, spending your days diving into spreadsheets, property data, and financial forecasts."
LOW,8,3336eb72-cf33-4048-b50e-fd625ac715c1,Commercial Real Estate Appraiser,Investment,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Business & Finance,2026-04-22T02:52:33.86077+00:00,"You evaluate commercial properties like office buildings and shopping centers, using data analysis and site inspections to determine their market value and help clients make smart investment decisions."
LOW,8,2a860729-3426-4335-83dc-0a8f80196443,Community Benefit Agreement Negotiator,Developer,description,Social Impact & Nonprofit,"Law & Government,Architecture & Urban Planning",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-08-12T02:27:24.841074+00:00,"You negotiate agreements between developers and communities to ensure projects deliver real benefits like jobs, affordable housing, and environmental protections while building trust across divided stakeholders."
LOW,8,8b27bac1-5b6e-46b6-8400-8f8b53f3fcb2,Community Outreach Coordinator,Nonprofit,description,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Social Impact & Nonprofit / Business & Finance,2026-04-22T02:52:29.422718+00:00,"You build bridges between nonprofits and communities, designing programs that connect people to resources, opportunities, and each other while measuring real social change."
LOW,8,eae96896-c49e-4bb9-ab0e-128282f20a72,Community Outreach Manager,Nonprofit,description,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Social Impact & Nonprofit / Business & Finance,2026-04-22T02:52:31.845128+00:00,"You build bridges between communities and nonprofits, designing programs that address real social problems and mobilizing volunteers, donors, and partners to create measurable change."
LOW,8,575cccef-af3d-48f8-8ce7-c89cdccfd7dd,Concert Promoter,Logistics,description,Arts & Performance,"Entrepreneurship,Hospitality & Events",Supply Chain & Operations / Aviation & Transportation,2026-05-15T02:07:50.44903+00:00,"You scout talent, book venues, coordinate logistics, and build buzz to sell out shows—turning artists' dreams into packed concert experiences that create unforgettable nights."
LOW,8,63b1b78f-09ec-4424-bf22-3df5240a6dab,Conference Center Director,Logistics,description,Hospitality & Events,"Business & Finance,Entrepreneurship",Supply Chain & Operations / Aviation & Transportation,2026-06-18T02:39:49.197753+00:00,You orchestrate every detail of conferences and events—from booking speakers and managing budgets to coordinating logistics and ensuring thousands of attendees have seamless experiences.
LOW,8,591622e9-f328-422d-87f6-d282ec79803a,Conference Operations Manager,Logistics,description,Hospitality & Events,"Business & Finance,Education & Coaching",Supply Chain & Operations / Aviation & Transportation,2026-05-10T01:56:17.553699+00:00,You orchestrate every detail of conferences and events—from logistics and budgets to speaker schedules and attendee experience—creating seamless experiences that bring professionals together.
LOW,8,ce03af0f-ea8b-479e-a8c2-8568e9576f4d,Conference Organizer,Logistics,description,Hospitality & Events,"Business & Finance,Media & Journalism",Supply Chain & Operations / Aviation & Transportation,2026-04-22T03:26:48.866302+00:00,You orchestrate every detail of conferences and events—from booking speakers and venues to managing budgets and logistics—creating memorable experiences that bring hundreds or thousands of people together.
LOW,8,c21d0c45-ca88-4a49-bd1c-d543b462e38c,Conference Planning Director,Logistics,description,Hospitality & Events,"Business & Finance,Media & Journalism",Supply Chain & Operations / Aviation & Transportation,2026-05-29T02:08:30.026095+00:00,"You orchestrate every detail of conferences—from venue logistics and speaker coordination to budget management and attendee experience—turning complex events into seamless, memorable gatherings that bring professionals together."
LOW,8,b4295f43-b94a-49e6-91b6-56efbd4db093,Conference Services Director,Logistics,description,Hospitality & Events,"Business & Finance,Education & Coaching",Supply Chain & Operations / Aviation & Transportation,2026-06-22T03:26:55.247158+00:00,You orchestrate every detail of conferences and large events—from booking speakers and managing budgets to coordinating logistics and ensuring attendees have seamless experiences.
LOW,8,8d5174cf-860a-4bdb-b9e4-7a02987d7f27,Convention Center Coordinator,Logistics,description,Hospitality & Events,Business & Finance,Supply Chain & Operations / Aviation & Transportation,2026-05-04T01:54:13.05175+00:00,"You orchestrate every detail of conventions and trade shows—from vendor logistics to stage setup to attendee flow—ensuring thousands of guests have a seamless, memorable experience."
LOW,8,d7f34fd4-6568-4300-8ac2-5d1cbbc1c0cc,Convention Center Director,Logistics,description,Hospitality & Events,Business & Finance,Supply Chain & Operations / Aviation & Transportation,2026-04-22T02:52:34.05043+00:00,"You orchestrate every detail of conferences, trade shows, and events—from booking speakers and managing vendor logistics to ensuring thousands of attendees have seamless experiences across multiple venues."
LOW,8,2581a638-3201-4892-bc46-48b2b5c8dcd0,Convention Manager,Logistics,description,Hospitality & Events,"Business & Finance,Media & Journalism",Supply Chain & Operations / Aviation & Transportation,2026-06-27T03:59:12.025473+00:00,"You orchestrate every detail of conferences, trade shows, and large events—from securing venues and negotiating vendor contracts to coordinating logistics and ensuring attendees have seamless experiences."
LOW,8,78b3f673-6c24-452a-acf8-8846f7fd4cf2,Corporate Event Coordinator,Logistics,description,Hospitality & Events,"Business & Finance,Design & Creative",Supply Chain & Operations / Aviation & Transportation,2026-04-22T02:52:33.295118+00:00,"You orchestrate every detail of corporate conferences, galas, and meetings—from vendor negotiations to guest logistics—creating seamless experiences that leave lasting impressions on hundreds of attendees."
LOW,8,39262a81-2f26-4c66-8eee-c48e1db6274e,Corporate Events Coordinator,Logistics,description,Hospitality & Events,"Business & Finance,Design & Creative",Supply Chain & Operations / Aviation & Transportation,2026-04-22T02:52:33.477982+00:00,"You orchestrate every detail of corporate conferences, galas, and team retreats—from venue selection to catering logistics to timeline management—ensuring executives and clients experience flawless, memorable events that strengthen business relationships."
LOW,8,83a54ea8-a52d-4bba-b847-8b46c60c3284,Corporate Meeting Planner,Logistics,description,Hospitality & Events,"Business & Finance,Design & Creative",Supply Chain & Operations / Aviation & Transportation,2026-06-06T02:07:26.380731+00:00,"You orchestrate every detail of corporate conferences, retreats, and events—from venue selection and vendor management to day-of logistics—creating seamless experiences that bring teams together and drive business results."
LOW,8,104f74db-06ab-4264-9884-8c8d6ac61e83,Corporate Retreat Planner,Logistics,description,Hospitality & Events,"Business & Finance,Design & Creative",Supply Chain & Operations / Aviation & Transportation,2026-04-25T06:07:14.077119+00:00,You orchestrate every detail of corporate retreats—from venue logistics and catering to team-building activities and speaker coordination—creating memorable experiences that strengthen company culture and boost employee engagement.
LOW,8,d534dba4-d70d-4692-a2d0-80de1b56ef7e,Corporate Skills Trainer,Software,description,Education & Coaching,"Business & Finance,Social Impact & Nonprofit",Tech & Engineering / Gaming & Esports / Cybersecurity,2026-04-22T02:52:31.660242+00:00,"You design and deliver training programs that help employees master new skills, from software systems to leadership techniques, watching them grow confident and competent in real time."
LOW,8,8e3c7a49-bd9e-424c-a54a-3d32367f5412,Corporate Treasurer,Investment,description,Arts & Performance,"Media & Journalism,Design & Creative,Science & Research",Business & Finance,2026-04-22T02:52:32.496342+00:00,"You manage a company's cash, investments, and financial strategy—making critical decisions that keep operations running smoothly and shareholders happy."
LOW,8,586fe6e2-0c27-4394-8fc9-4357af58285e,Costume Technician,Theater,description,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance,2026-04-22T02:52:30.082186+00:00,"You design, create, and maintain costumes for theater, film, and television productions, bringing characters to life through fabric, color, and craftsmanship while solving creative challenges under tight deadlines."
LOW,8,61937333-b3fc-4e63-bfa8-cae6693355f6,Cultural Heritage Preservationist,Conservation,description,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Arts & Performance",Environment & Sustainability / Science & Research / Social Impact & Nonprofit,2026-04-22T02:52:29.422718+00:00,"You restore, document, and protect historical artifacts and cultural sites by researching their origins, managing conservation projects, and educating communities about their significance."
LOW,8,4134df2c-97ab-40cf-8c3c-de9d9ff4f8a7,Debate Tournament Director,Logistics,description,Education & Coaching,"Hospitality & Events,Law & Government",Supply Chain & Operations / Aviation & Transportation,2026-07-05T03:59:38.756714+00:00,"You orchestrate competitive debate tournaments by managing logistics, recruiting judges, developing competition formats, and ensuring fair adjudication that sharpens students' critical thinking and public speaking skills."
LOW,8,de3916da-79a2-4cfe-8ea2-33196b1d1062,Delivery Service Operator,Logistics,description,Entrepreneurship,"Business & Finance,Tech & Engineering",Supply Chain & Operations / Aviation & Transportation,2026-06-08T02:38:45.278093+00:00,"You build and run your own delivery business, managing routes, customers, and logistics while getting packages into people's hands fast and reliably."
LOW,8,d6802f33-1452-41de-9d0c-2dfe1d04105b,Destination Management Coordinator,Logistics,description,Hospitality & Events,"Business & Finance,Media & Journalism",Supply Chain & Operations / Aviation & Transportation,2026-07-10T03:52:06.299925+00:00,"You craft unforgettable travel experiences by coordinating logistics, attractions, and services that transform destinations into must-visit places for tourists and groups."
LOW,8,799f4e4a-88c5-4861-9980-807961970e6c,Destination Manager,Logistics,description,Hospitality & Events,"Business & Finance,Design & Creative",Supply Chain & Operations / Aviation & Transportation,2026-05-25T02:31:55.535964+00:00,"You curate unforgettable travel experiences by researching destinations, coordinating logistics, and crafting personalized itineraries that transform how people explore the world."
